"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-05 13:06:00",91,292,0,2.047,198.9,3.498,2.4,-18.72,0.7,1001.5,52.6,-11.42,-2.083,1.4,""
"2024-04-05 13:07:00",92,292,0,2.072,196.9,1.831,2.25,-18.45,0.7,1001.5,51.7,-11.62,-2.217,1.283,""
"2024-04-05 13:08:00",93,291.2,0,1.728,195.6,3.053,1.86,-18.27,0.7166666,1001.5,51.6,-11.8,-2.1,1.233,""
"2024-04-05 13:09:00",94,290.8,0,1.468,190,2.552,1.81,-18.15,0.8,1001.45,51.3,-11.9,-2.067,1.267,""
"2024-04-05 13:10:00",95,290,0,1.27,178.1,6.8,1.58,-17.75,0.8,1001.5,50.1,-12.03,-2.05,1.283,""
"2024-04-05 13:11:00",96,289.5,0,0.727,144.7,67.2,1.61,-17.48,0.8,1001.483,42.2,-12.07,-2.05,1.25,""
"2024-04-05 13:12:00",97,289,0,0.375,36.81,99.9,0.69,-17.05,0.8,1001.5,45.4,-12.08,-2,1.35,""
"2024-04-05 13:13:00",98,288.7,0,0.375,33.29,31.18,0.54,-16.92,0.8,1001.5,48.1,-11.97,-1.95,1.333,""
"2024-04-05 13:14:00",99,288,0,0.322,54.96,30.68,0.54,-16.87,0.8,1001.5,47.6,-11.97,-2.1,1.2,""
"2024-04-05 13:15:00",100,287.5,0,0.347,171.3,99.1,0.61,-16.8,0.8,1001.5,53.1,-11.87,-2.033,1.3,""
"2024-04-05 13:16:00",101,286.8,0,1.067,244.3,19.47,1.43,-18.2,0.8,1001.5,58,-11.78,-2.1,1.333,""
"2024-04-05 13:17:00",102,286.2,0,1.197,246.7,6.249,1.29,-18.35,0.8,1001.5,52.6,-11.78,-2.033,1.25,""
"2024-04-05 13:18:00",103,285.7,0,1.282,216.5,12.08,1.63,-17.87,0.8,1001.5,51.9,-11.85,-2.05,1.233,""
"2024-04-05 13:19:00",104,285,0,1.138,223.3,12.2,1.29,-17.32,0.8,1001.5,51,-11.83,-2.017,1.167,""
"2024-04-05 13:20:00",105,284.5,0,0.928,217,5.502,1.15,-17.08,0.8,1001.5,47.7,-11.9,-2.117,1.283,""
"2024-04-05 13:21:00",106,283.8,0,0.71,210.3,3.809,0.78,-17.1,0.8,1001.5,53,-11.88,-2.133,1.217,""
"2024-04-05 13:22:00",107,283.3,0,0.673,196.4,1.873,0.78,-17.78,0.8,1001.517,52.3,-11.9,-2.1,1.283,""
"2024-04-05 13:23:00",108,282.7,0,0.573,195.3,2.81,0.67,-17.78,0.8,1001.5,52.4,-11.88,-2,1.333,""
"2024-04-05 13:24:00",109,282,0,0.678,192.6,2.189,0.74,-17.78,0.8,1001.5,53.8,-11.82,-1.967,1.317,""
"2024-04-05 13:25:00",110,281.3,0,0.657,194.1,4.316,0.78,-17.65,0.8,1001.5,53.1,-11.8,-2.067,1.283,""
"2024-04-05 13:26:00",111,280.5,0,0.602,183,13.53,0.68,-17.72,0.8,1001.5,55.3,-11.82,-2.05,1.183,""
"2024-04-05 13:27:00",112,280,0,0.697,194.2,4.588,0.75,-18.03,0.8,1001.5,54.9,-11.8,-2.017,1.283,""
"2024-04-05 13:28:00",113,279.5,0,0.593,190.2,2.498,0.7,-17.93,0.8,1001.5,53.7,-11.82,-2.033,1.25,""
"2024-04-05 13:29:00",114,278.8,0,0.478,181,23.37,0.53,-17.5,0.8,1001.5,51.4,-11.77,-1.933,1.25,""
"2024-04-05 13:30:00",115,278,0,0.292,162.2,47.79,0.34,-16.75,0.8,1001.5,50.8,-11.73,-2.117,1.3,""
